item,ABC_group,XYZ_group
sku11099,A,Z
sku4289,A,Z
sku20858,A,Y
sku23934,A,Z
sku16363,A,X
sku16818,A,X
sku21118,A,X
sku14636,A,Z
sku7431,A,Z
sku10279,A,Z
sku17124,A,Z
sku10136,A,Z
sku6586,A,Z
sku1420,A,Z
sku21172,A,X
sku23357,A,Z
sku17235,A,Z
sku12619,A,Z
sku29333,A,Z
sku23483,A,Z
sku5934,A,Z
sku21275,A,Z
sku9224,A,Z
sku27894,A,X
sku18156,A,Z
sku18871,A,Z
sku12847,A,Z
sku6071,A,X
sku25687,A,X
sku18853,A,Z
sku11466,A,X
sku9790,A,Z
sku4456,A,Z
sku16328,A,X
sku12541,A,Z
sku5039,A,X
sku29338,A,X
sku10436,A,X
sku8194,A,X
sku10124,A,Z
sku16868,A,Z
sku29030,A,Z
sku18316,A,Z
sku7688,A,X
sku25454,A,Y
sku303,A,X
sku24122,A,X
sku20004,A,Z
sku20131,A,Z
sku8862,A,X
sku9959,A,X
sku9887,A,Z
sku16628,A,Y
sku25386,A,Z
sku9850,A,Z
sku18018,A,Z
sku17865,A,Z
sku11596,A,Z
sku15961,A,Z
sku25528,A,Z
sku25323,A,Z
sku9727,A,Z
sku1605,A,Z
sku28664,A,X
sku29708,A,Z
sku30523,A,X
sku15956,A,Z
sku21971,A,X
sku26318,A,Z
sku16136,A,Z
sku9388,A,Z
sku30061,A,Z
sku30084,A,X
sku15343,A,Z
sku15314,A,Z
sku19046,A,X
sku3607,A,X
sku18756,A,Y
sku24059,A,Z
sku16420,A,Z
sku570,A,X
sku17489,A,Y
sku14871,A,Z
sku12204,A,Z
sku28796,A,Z
sku6859,A,X
sku24387,A,Z
sku7563,A,Z
sku11268,A,Z
sku27329,A,Y
sku9206,A,Z
sku14842,A,X
sku4422,A,Z
sku21472,A,Z
sku13996,A,X
sku15529,A,Z
sku20064,A,Z
sku6182,A,X
sku26665,A,Z
sku29945,A,Z
sku9182,A,Z
sku7668,A,Y
sku23189,A,X
