total_quantity,total_amount,unique_visits
344,92218,26
1376,92109,7
77,92032,7
336,92027,17
288,92002,32
251,91957,20
436,91950,25
239,91947,6
243,91853,20
212,91768,31
323,91730,33
187,91679,32
271,91556,17
354,91534,21
199,91385,2
210,91339,28
387,91338,64
333,91319,17
176,91141,33
52,91118,13
235,91073,16
249,91014,12
176,90903,13
254,90868,46
311,90826,20
225,90661,17
372,90609,17
315,90600,32
574,90556,57
294,90367,35
418,90337,29
252,90306,18
210,90260,23
86,90175,15
345,90090,25
293,90063,10
509,90026,57
357,89955,38
267,89911,6
246,89889,31
185,89828,9
69,89822,7
134,89801,48
250,89669,23
346,89646,17
170,89614,21
244,89371,24
332,89353,41
187,89216,23
274,89130,28
531,89102,72
368,89060,31
412,89006,26
91,88985,7
104,88981,10
342,88957,28
196,88891,14
96,88854,6
490,88847,46
328,88674,31
156,88631,7
286,88624,28
523,88577,17
458,88567,13
61,88555,6
69,88490,2
154,88473,13
228,88328,24
490,88290,44
469,88223,32
412,88176,23
141,88144,11
296,88102,26
241,88078,6
206,88061,10
361,88017,16
142,87988,22
258,87976,8
170,87891,18
629,87862,35
296,87849,15
403,87827,37
288,87794,6
144,87741,12
269,87589,18
6,87586,3
205,87541,3
251,87480,16
667,87423,23
179,87401,23
272,87252,20
530,87219,24
208,87158,6
332,87132,8
181,87111,18
145,87063,30
348,87061,15
420,87060,24
161,87030,17
307,86942,44
460,86875,29
8,86738,1
141,86650,11
202,86613,8
39,86606,8
174,86562,34
275,86547,10
154,86415,17
103,86412,12
425,86412,36
292,86408,47
401,86259,22
83,86252,13
392,86199,22
192,86195,23
470,86110,27
355,86079,30
435,86053,52
321,86053,30
364,85898,11
293,85891,44
282,85889,34
281,85861,30
207,85813,9
165,85812,16
341,85797,10
372,85789,68
400,85768,33
136,85754,24
207,85747,12
502,85719,47
138,85704,12
259,85649,9
379,85608,53
146,85570,7
131,85536,16
274,85322,36
121,85308,11
225,85217,19
284,85078,26
781,85069,18
250,85059,18
194,85036,2
146,85007,18
340,85003,27
337,84778,42
216,84724,13
629,84708,57
215,84655,7
368,84648,38
86,84643,4
312,84636,13
120,84600,2
367,84598,52
210,84552,7
264,84361,27
466,84212,21
206,84126,2
139,84111,7
377,84111,42
335,84109,23
207,84076,25
79,83963,14
243,83919,32
242,83900,4
520,83896,41
397,83789,19
152,83784,30
158,83764,8
252,83737,30
162,83733,6
337,83665,34
263,83562,34
305,83521,21
251,83511,14
210,83460,29
197,83435,22
175,83416,35
106,83405,18
28,83269,3
323,83198,47
582,83196,34
292,83186,42
405,83045,20
172,82986,20
232,82916,15
455,82844,25
607,82819,32
604,82755,73
694,82744,70
150,82663,15
127,82644,16
243,82583,10
116,82552,22
193,82534,18
531,82462,19
364,82395,23
183,82365,6
574,82337,61
169,82323,13
242,82284,10
242,82264,12
506,82245,34
134,82202,6
606,82193,51
114,82190,14
319,82103,21
362,81972,30
151,81952,16
237,81903,35
648,81867,61
418,81787,44
242,81776,46
98,81718,2
366,81660,25
293,81604,5
354,81599,25
356,81593,27
120,81561,3
266,81525,10
172,81518,22
338,81446,16
103,81442,10
153,81435,10
209,81434,24
214,81429,29
218,81403,18
160,81337,33
286,81312,32
216,81302,11
300,81299,39
22,81291,8
119,81164,23
272,81109,29
345,81051,22
255,80988,24
165,80819,23
71,80818,4
315,80798,22
192,80778,33
415,80728,49
151,80679,5
117,80665,10
63,80650,7
540,80592,18
96,80552,9
418,80534,41
222,80446,20
123,80320,11
199,80260,11
125,80224,26
433,80190,14
502,80172,28
420,80170,26
119,80152,12
69,80103,15
262,80070,32
280,80061,8
295,79959,17
191,79927,23
673,79924,61
196,79921,2
217,79900,30
145,79882,20
418,79868,39
165,79853,7
210,79811,12
14,79807,2
190,79745,36
267,79690,24
208,79606,13
46,79605,10
362,79524,36
246,79512,14
534,79497,26
261,79470,31
246,79446,14
276,79420,22
769,79292,9
83,79286,17
120,79251,5
409,79192,31
250,79146,23
789,79145,39
145,79102,11
232,79078,19
379,79006,21
518,78980,15
147,78978,21
826,78954,41
184,78884,14
307,78835,14
646,78815,23
116,78800,5
241,78771,24
441,78744,40
185,78703,15
134,78680,7
219,78631,25
420,78504,19
180,78358,7
116,78352,6
176,78351,5
126,78341,16
48,78339,13
284,78332,28
77,78308,6
316,78250,23
246,78240,19
183,78203,50
267,78200,52
242,78152,16
155,78135,24
111,78113,16
252,78078,44
275,78011,40
168,77981,7
319,77953,22
671,77939,22
251,77910,9
63,77834,10
18,77774,8
281,77744,8
125,77727,7
316,77716,26
368,77663,57
316,77651,58
349,77628,42
22,77612,8
370,77599,30
204,77548,31
551,77519,51
252,77481,7
273,77376,65
1700,77280,2
602,77270,47
81,77166,29
194,77114,18
258,77114,29
314,77089,20
200,77084,21
443,77041,44
185,77013,8
36,76909,2
182,76874,34
132,76871,6
233,76823,10
276,76765,45
473,76689,52
408,76681,27
168,76657,33
138,76611,10
143,76524,18
76,76513,10
132,76509,7
339,76449,23
303,76445,34
220,76356,11
495,76342,46
208,76290,27
127,76274,27
201,76269,14
79,76262,16
217,76239,14
150,76206,14
167,76198,24
182,76088,19
272,76064,41
220,76039,12
181,76025,23
124,75913,8
202,75841,14
204,75839,50
253,75803,25
201,75794,22
191,75784,13
286,75651,13
162,75550,18
533,75510,43
169,75480,7
92,75396,10
253,75379,24
154,75366,29
54,75358,17
91,75329,13
248,75325,26
227,75315,19
221,75291,30
216,75288,12
259,75239,52
391,75221,8
229,75213,6
333,75199,11
256,75198,45
209,75187,35
218,75128,14
284,75067,30
151,75051,10
202,75041,24
137,75028,14
358,75022,21
218,75008,11
102,74943,6
176,74862,6
93,74845,11
243,74797,16
447,74773,44
129,74765,15
202,74724,28
419,74723,105
316,74719,4
420,74637,35
238,74636,7
419,74590,22
296,74526,24
372,74493,20
112,74451,14
203,74432,23
60,74412,10
155,74403,13
69,74359,11
295,74353,16
170,74314,8
208,74275,14
509,74223,80
277,74222,80
138,74218,15
158,74214,19
297,74193,27
389,74177,19
52,74172,10
171,74156,19
156,74147,4
399,74115,51
573,74102,49
373,74095,19
350,74085,14
172,74049,17
218,74040,25
134,74034,15
303,74022,47
313,74012,24
196,73990,39
121,73984,15
116,73949,19
305,73942,24
409,73937,27
400,73935,40
120,73928,4
370,73911,46
425,73895,12
152,73866,5
461,73765,8
205,73762,15
329,73749,20
182,73740,42
80,73716,16
81,73716,6
403,73710,48
310,73687,51
453,73660,16
234,73659,23
273,73631,4
317,73621,21
310,73568,21
115,73543,13
183,73516,16
256,73364,22
395,73295,55
388,73294,12
9,73288,2
369,73236,39
184,73220,26
192,73210,26
400,73204,14
203,73173,30
99,73167,7
236,73157,19
410,73129,56
274,73106,20
130,73102,7
266,73069,72
149,73052,15
685,72957,13
182,72903,11
164,72899,18
187,72889,37
443,72878,53
202,72860,32
77,72841,6
187,72839,22
243,72833,35
193,72815,38
214,72749,18
172,72748,44
320,72708,40
405,72691,35
552,72691,66
235,72685,24
313,72668,9
205,72622,28
178,72614,33
369,72576,15
534,72560,87
385,72560,12
213,72467,17
140,72441,17
273,72422,22
515,72348,15
191,72330,10
106,72329,6
372,72311,19
196,72300,12
264,72272,43
324,72261,18
255,72233,9
410,72217,23
10,72142,2
369,72071,46
109,72052,10
256,72052,12
238,72031,9
101,72005,6
213,71991,17
137,71930,12
238,71888,33
140,71886,6
290,71845,13
218,71835,27
297,71827,29
220,71826,17
199,71805,11
84,71761,13
180,71749,25
153,71728,38
75,71709,2
305,71684,44
279,71650,42
350,71644,30
195,71618,19
229,71549,25
627,71543,50
401,71522,51
273,71502,28
26,71493,1
93,71479,6
668,71412,52
334,71411,15
359,71392,46
90,71380,13
25,71360,2
244,71357,41
295,71278,52
310,71270,38
317,71233,26
192,71210,24
51,71209,4
323,71207,9
188,71190,23
450,71157,17
140,71091,20
130,70951,21
82,70944,12
258,70915,4
196,70847,7
304,70826,37
270,70793,31
22,70788,3
285,70779,16
141,70753,4
38,70747,6
224,70731,13
278,70728,12
245,70713,19
329,70650,19
229,70611,34
179,70610,17
62,70521,6
295,70507,30
198,70418,22
179,70361,7
43,70330,7
236,70306,14
274,70287,18
71,70232,7
62,70214,4
117,70212,15
230,70191,17
49,70189,15
327,70110,39
245,70033,26
232,70018,15
390,70015,39
147,69990,11
334,69986,27
197,69927,36
32,69923,4
459,69902,18
214,69873,39
287,69730,29
151,69724,34
289,69698,19
100,69682,7
363,69677,35
271,69644,11
167,69606,24
234,69576,36
337,69538,51
164,69537,15
139,69516,17
334,69488,60
101,69487,11
217,69477,44
400,69469,16
146,69467,19
206,69442,12
117,69435,29
211,69425,41
237,69411,26
122,69407,19
218,69366,20
44,69327,9
225,69303,23
307,69300,32
275,69299,34
168,69225,4
91,69220,15
172,69202,25
205,69146,41
308,69132,17
204,69122,11
282,69121,25
113,69116,15
209,69058,36
322,69053,16
254,69048,8
176,69013,7
393,69002,35
292,68995,9
231,68928,10
67,68927,6
304,68884,47
356,68838,28
185,68838,15
378,68818,56
253,68697,34
191,68692,30
190,68639,28
84,68635,3
281,68628,31
241,68618,22
218,68499,20
339,68496,18
227,68474,28
210,68451,14
26,68427,5
1598,68385,9
394,68371,42
208,68362,40
552,68359,40
160,68345,35
389,68326,29
216,68322,6
244,68232,11
141,68174,16
99,68116,26
196,68091,13
309,68086,46
251,68066,52
238,68011,42
164,68008,10
306,67984,77
196,67973,30
191,67929,12
122,67922,14
226,67917,23
137,67890,6
45,67885,5
105,67819,11
215,67769,11
192,67717,9
106,67716,10
133,67713,10
184,67700,11
520,67687,36
293,67630,7
257,67624,35
126,67576,13
59,67559,10
153,67552,20
200,67541,29
334,67520,15
375,67510,32
303,67465,31
85,67457,5
307,67451,29
311,67451,33
242,67438,23
378,67437,52
64,67395,12
212,67389,7
659,67323,1
246,67316,15
334,67199,42
171,67196,12
100,67167,12
68,67112,29
159,67107,18
270,67091,27
98,67065,8
501,67042,44
192,67041,16
89,67013,8
173,67011,28
293,67009,21
124,66998,9
214,66951,25
273,66933,26
145,66880,11
325,66829,29
213,66812,9
177,66719,30
124,66690,21
44,66669,6
198,66667,20
14,66618,3
87,66585,17
132,66565,6
362,66554,44
170,66531,19
286,66475,19
298,66458,42
270,66457,50
197,66446,10
181,66416,28
338,66413,36
466,66394,25
182,66388,13
251,66384,43
329,66357,38
77,66336,5
301,66302,18
145,66295,10
105,66122,13
85,66065,2
134,66040,19
240,66037,14
134,66031,12
132,66019,22
218,66019,34
155,66007,24
228,66000,68
52,65994,6
132,65978,19
295,65973,12
227,65895,15
170,65873,28
102,65867,6
252,65858,28
88,65842,7
192,65836,8
207,65835,29
89,65813,10
183,65786,40
190,65761,17
374,65743,9
42,65706,16
150,65694,13
279,65677,38
212,65565,15
206,65559,23
220,65547,3
106,65537,13
524,65529,51
43,65490,4
390,65456,58
111,65442,5
107,65417,4
184,65360,24
220,65330,7
198,65311,45
239,65304,70
234,65276,21
94,65269,7
131,65264,21
26,65259,6
183,65258,35
83,65248,5
247,65188,5
275,65168,33
231,65156,21
238,65143,19
161,65142,34
261,65140,57
136,65030,17
157,64988,12
28,64977,6
131,64948,10
131,64937,16
67,64897,13
10,64881,3
418,64875,24
196,64826,22
204,64824,33
337,64815,22
111,64797,3
84,64790,10
201,64770,30
132,64753,17
159,64717,23
350,64678,36
337,64646,48
131,64644,41
94,64623,10
36,64598,5
342,64565,28
238,64537,20
97,64511,15
153,64498,3
160,64456,5
145,64319,8
457,64316,19
390,64266,57
300,64265,21
206,64251,12
68,64246,5
52,64239,11
227,64202,20
195,64201,3
265,64188,5
305,64172,33
300,64166,32
333,64142,30
100,64078,11
93,64076,28
110,64072,8
110,64033,8
144,64005,12
301,63999,35
216,63955,21
519,63934,58
347,63913,17
197,63909,19
166,63909,36
125,63899,18
218,63880,18
195,63859,7
129,63858,13
126,63839,15
200,63818,12
281,63803,17
202,63768,11
198,63754,17
220,63749,19
169,63707,7
18,63699,3
214,63698,27
163,63665,9
132,63620,13
112,63574,15
176,63554,20
211,63553,27
284,63551,12
236,63538,35
94,63510,9
37,63504,4
177,63495,14
141,63453,5
220,63443,11
85,63356,11
343,63306,36
326,63279,28
32,63252,10
141,63249,17
177,63231,31
174,63218,28
30,63190,7
323,63190,17
341,63189,28
228,63155,5
33,63150,4
324,63076,39
222,63048,16
325,63010,34
80,62974,10
181,62969,22
346,62953,32
83,62921,9
192,62908,16
243,62905,41
198,62877,10
184,62852,14
81,62846,8
473,62841,28
255,62837,33
458,62825,2
234,62825,17
104,62770,15
147,62768,13
233,62764,34
11,62749,2
120,62742,5
426,62717,88
206,62711,15
183,62681,17
236,62652,81
120,62629,9
234,62627,29
143,62600,23
89,62577,18
254,62538,42
169,62478,25
108,62461,10
195,62452,27
156,62436,11
179,62387,21
395,62363,28
209,62343,4
137,62339,21
182,62326,12
256,62306,32
130,62298,13
88,62297,12
263,62240,34
218,62225,30
356,62218,75
158,62216,18
257,62198,28
224,62183,24
49,62157,14
187,62154,6
267,62130,28
45,62124,6
326,62074,27
243,61990,10
51,61985,10
321,61939,63
196,61902,15
340,61888,41
255,61878,16
129,61869,5
140,61859,8
118,61836,22
241,61834,10
125,61827,8
179,61824,15
236,61821,16
125,61811,8
320,61808,23
121,61800,4
68,61781,10
423,61765,30
206,61756,9
16,61750,6
201,61733,21
331,61715,50
110,61706,17
78,61676,15
208,61671,24
21,61641,5
111,61622,11
218,61617,15
244,61562,19
225,61533,34
33,61523,6
297,61506,8
115,61505,7
111,61495,11
57,61494,2
231,61448,13
203,61445,11
199,61440,28
178,61437,31
176,61411,11
271,61396,25
157,61393,21
314,61381,22
233,61322,45
238,61321,26
64,61271,10
104,61264,13
130,61232,4
89,61224,1
12,61211,2
317,61175,38
151,61145,12
240,61135,23
189,61126,32
157,61123,23
68,61084,12
130,61080,4
223,61070,26
134,61010,13
250,60980,35
123,60970,26
230,60955,27
161,60950,22
140,60910,18
199,60893,9
173,60843,30
119,60792,9
85,60744,11
170,60733,6
122,60722,9
107,60721,5
335,60697,22
420,60688,6
124,60678,20
126,60669,13
136,60612,9
503,60608,45
283,60579,27
113,60542,8
118,60539,14
371,60510,6
108,60441,18
49,60412,12
77,60387,9
298,60383,30
48,60376,5
332,60366,20
223,60345,55
212,60323,38
167,60244,6
66,60240,10
212,60207,9
78,60207,10
342,60191,35
264,60154,18
214,60049,25
130,60047,13
136,59996,13
30,59967,12
137,59947,15
176,59896,8
64,59867,6
293,59844,12
130,59818,6
97,59804,7
333,59765,30
162,59761,2
207,59726,9
180,59684,27
240,59661,30
203,59652,21
85,59628,4
372,59627,24
210,59609,31
200,59571,16
268,59543,54
448,59541,17
226,59520,21
193,59512,25
170,59503,19
146,59497,21
301,59456,38
190,59419,22
178,59371,34
60,59349,4
16,59321,7
199,59319,41
273,59313,19
124,59292,16
111,59177,4
443,59172,53
10,59148,4
67,59107,6
247,59082,32
201,59081,16
117,59061,15
243,58953,41
91,58936,16
212,58918,40
194,58890,6
122,58873,10
191,58873,10
434,58867,69
327,58851,24
87,58833,14
203,58791,13
229,58771,21
189,58739,12
294,58737,14
147,58730,27
66,58712,10
81,58704,4
217,58702,24
188,58696,23
152,58677,25
175,58661,27
82,58655,9
162,58650,21
321,58645,12
83,58642,19
55,58642,15
105,58633,1
161,58632,24
111,58605,17
142,58604,21
222,58600,9
55,58536,8
93,58531,9
28,58528,9
293,58389,14
115,58368,13
189,58365,28
258,58336,15
98,58318,7
329,58302,40
335,58300,22
111,58272,23
215,58272,15
61,58238,10
206,58214,16
229,58205,38
280,58191,46
133,58191,9
304,58158,16
223,58158,19
313,58110,31
204,58105,18
369,58105,58
277,58084,23
49,58072,9
16,58065,1
529,58061,29
206,58056,18
187,58041,6
256,58038,10
136,58014,8
176,58012,21
226,57987,17
120,57961,20
256,57959,32
167,57949,13
234,57946,34
59,57917,5
210,57904,19
259,57866,34
152,57865,8
259,57816,22
209,57813,14
267,57797,26
111,57788,5
233,57787,24
223,57778,26
296,57764,20
70,57750,4
189,57744,10
162,57728,17
94,57727,11
450,57705,9
211,57702,11
235,57671,28
175,57624,40
289,57531,41
255,57530,23
188,57468,17
288,57457,20
186,57456,24
226,57388,22
45,57386,8
261,57364,28
18,57361,3
