item,total_amount,cumulative_percent,ABC_group
sku5763,221147,32.04085546806322,A
sku12045,220645,32.07595602044358,A
sku13696,218866,32.110773566716006,A
sku28080,218746,32.14557202320037,A
sku22485,218530,32.18033611806624,A
sku17189,218165,32.21504214816011,A
sku19559,217995,32.249721134387556,A
sku1620,217746,32.2843605093048,A
sku13676,217577,32.31897299943718,A
sku2492,217401,32.35355749121375,A
sku3997,215993,32.3879179961438,A
sku7502,215938,32.422269751587656,A
sku21057,215742,32.45659032704435,A
sku11047,215719,32.49090724362501,A
sku7223,215667,32.52521588796417,A
sku9540,214705,32.559371495835755,A
sku4838,214694,32.593525353810094,A
sku17069,214673,32.627675871071524,A
sku28627,213135,32.6615817208827,A
sku17056,212894,32.6954492320362,A
sku26354,212879,32.72931435696619,A
sku19256,212870,32.763178050162075,A
sku7219,212774,32.79702647152752,A
sku11751,211656,32.830697039700915,A
sku12442,211624,32.86436251726415,A
sku17418,211512,32.898010177691866,A
sku6143,210577,32.93150909685431,A
sku3484,210496,32.964995130409825,A
sku387,210456,32.99847480070265,A
sku10825,209901,33.031866180725714,A
sku8836,209574,33.06520554107633,A
sku24803,209481,33.0985301068412,A
sku3471,209459,33.131851172811594,A
sku26417,209431,33.16516778449811,A
sku21377,208351,33.198312588092115,A
sku8568,208351,33.23145739168612,A
sku4180,208330,33.26459885456722,A
sku14032,208218,33.2977225003128,A
sku15166,207917,33.33079826250667,A
sku12364,207441,33.36379830187459,A
sku5670,206931,33.39671720964326,A
sku4872,206689,33.42959761967269,A
sku26721,206680,33.46247659796801,A
sku838,206237,33.4952851031291,A
sku20014,206125,33.52807579115467,A
sku4858,206064,33.56085677520464,A
sku17696,206028,33.5936320323182,A
sku23810,205326,33.626295614171624,A
sku25198,204991,33.65890590370006,A
sku12776,204579,33.69145065162284,A
sku4150,204078,33.72391569968048,A
sku15780,203918,33.75635529468738,A
sku12636,203675,33.78875623287347,A
sku2443,202969,33.82104485947316,A
sku4642,202816,33.85330914659308,A
sku22684,202568,33.88553398148434,A
sku20655,202376,33.917728272714726,A
sku1179,201897,33.94984636387445,A
sku16065,201534,33.9819067084253,A
sku11206,200566,34.013813062019175,A
sku2471,200408,34.04569428072543,A
sku24899,200252,34.07755068270721,A
sku29976,199111,34.1092255726209,A
sku17354,199065,34.140893144782495,A
sku17738,198943,34.17254130899291,A
sku18598,198902,34.204182950859064,A
sku15135,198040,34.23568746441435,A
sku15721,197024,34.267030351097425,A
sku18079,196796,34.2983369671832,A
sku6989,196513,34.32959856318546,A
sku6804,196111,34.36079620839775,A
sku2955,196097,34.39199162646809,A
sku18641,195047,34.42302000889295,A
sku21359,194619,34.45398030440707,A
sku26932,194602,34.48493789553454,A
sku18444,194539,34.515885464523286,A
sku7974,194502,34.54682714749405,A
sku16242,194445,34.57775976281549,A
sku19985,194201,34.60865356223455,A
sku16133,193866,34.63949406932861,A
sku26032,193067,34.67020747025054,A
sku14061,192584,34.70084403477554,A
sku29862,192473,34.73146294124659,A
sku29234,192239,34.762044622630924,A
sku7351,192133,34.79260944136915,A
sku15020,191695,34.82310458238097,A
sku12339,191574,34.85358047452316,A
sku12050,191180,34.88399368852791,A
sku9233,190918,34.914365223162065,A
sku3468,190855,34.94472673565749,A
sku20573,190848,34.97508713458195,A
sku23466,190487,35.00539010506066,A
sku1472,190304,35.0356639636126,A
sku8962,190127,35.06590966472715,A
sku15164,189577,35.09606787097978,A
sku22092,189456,35.12620682836278,A
sku9390,189413,35.156338945238396,A
sku14652,189370,35.18646422160663,A
sku25573,188479,35.21644775629854,A
sku2729,187888,35.246337273784285,A
sku25130,187529,35.276169680987415,A
sku25150,187521,35.30600081553802,A
sku17031,187414,35.33581492836093,A
sku25356,187117,35.36558179395841,A
sku3455,187103,35.39534643241395,A
sku22260,186979,35.42509134475516,A
sku2310,186858,35.45481700822675,A
sku26585,186586,35.484499401512075,A
sku25371,186441,35.51415872797018,A
sku26165,186060,35.543757444351186,A
sku29980,185520,35.57327025668595,A
sku6509,185397,35.60276350198796,A
sku14129,184858,35.63217100232528,A
sku28639,184156,35.66146682740247,A
sku20859,183963,35.690731949737206,A
sku5475,183346,35.71989891874502,A
sku3291,182766,35.7489736204439,A
sku5496,182563,35.778016028584645,A
sku14379,182328,35.80702105255711,A
sku13320,181976,35.835970079817955,A
sku2291,181612,35.86486120138835,A
sku28479,181598,35.89375009581682,A
sku2322,181503,35.9226238774964,A
sku2900,181380,35.95147809214323,A
sku5631,181081,35.98028474140148,A
sku6659,180934,36.00906800566937,A
sku25623,180877,36.037842202287926,A
sku30149,180825,36.066608126664995,A
sku4669,180825,36.095374051042064,A
sku25811,180772,36.12413154409607,A
sku3697,180690,36.152875992461574,A
sku15224,180599,36.181605964404476,A
sku27183,179853,36.210217261498286,A
sku28736,179589,36.238786561058376,A
sku19679,178591,36.26719709721446,A
sku22363,178388,36.29557533981242,A
sku16015,178005,36.32389265417017,A
sku10504,177916,36.35219581026845,A
sku5361,177848,36.380488148820156,A
sku10519,176910,36.408631268861896,A
sku19917,176553,36.43671759678416,A
sku16956,176501,36.46479565246494,A
sku28018,176376,36.492853822949826,A
sku28685,176170,36.52087922263188,A
sku3847,175996,36.54887694212126,A
sku4335,175957,36.57686845742952,A
sku17901,175795,36.6048342015239,A
sku14405,175707,36.63278594644038,A
sku1023,175290,36.66067135434336,A
sku19443,175201,36.68854260398686,A
sku29689,174974,36.716377742114624,A
sku17720,174166,36.744084342336144,A
sku18245,174119,36.77178346572401,A
sku23048,173997,36.79946318116068,A
sku17983,173905,36.827128261093186,A
sku13210,173694,36.854759774815015,A
sku18099,173453,36.88235294987916,A
sku25603,173205,36.90990667271467,A
sku15932,173174,36.937455464021596,A
sku28427,172746,36.964936168417786,A
sku3611,172566,36.99238823813189,A
sku17140,172553,37.01983823978562,A
sku20793,172320,37.04725117543421,A
sku20413,172115,37.07463149936154,A
sku12622,172026,37.10199766502939,A
sku16034,172015,37.12936208080001,A
sku3335,171835,37.15669786188854,A
sku5105,171827,37.18403237032453,A
sku21653,171603,37.21133124448948,A
sku12215,171524,37.23861755121064,A
sku18721,171471,37.26589542660873,A
sku26946,171153,37.293122714068474,A
sku13552,170771,37.320289232369575,A
